location,total_cases,total_deaths,people_vaccinated
Asia,301499099.0,1637249.0,3689438947.0
Czechia,4761919.0,43509.0,6982006.0
Estonia,610471.0,2998.0,870213.0
Europe,252916868.0,2102483.0,523814328.0
European Union (27),185822587.0,1262988.0,338119562.0
High-income countries,429044049.0,2997359.0,998723024.0
India,45041748.0,533623.0,1027438924.0
Lithuania,1369355.0,9810.0,1958300.0
Lower-middle-income countries,91954400.0,1188026.0,2281867638.0
Malaysia,5309410.0,37351.0,28138569.0
North America,124492666.0,1671178.0,458563506.0
Oceania,15003352.0,32918.0,28960501.0
Upper-middle-income countries,251753518.0,2824452.0,2109015426.0
World,775866783.0,7057132.0,5631263739.0
